title,type,dates
Code Geass: Hangyaku no Lelouch,Manga (8 vols),Aug 2006 - Feb 2010
Penguin Prince,Manga (1 vols),Aug 2003 - Sep 2005
Barairo My Honey,Manga (3 vols),Apr 2005 - Apr 2006
Koukoku no Shugosha,Manga (5 vols),Jun 2004 - Sep 2007
Hikari no Pansy,Manga (11 vols),1988 - 1991
Kidou Senshi Gundam,Novel (3 vols),Nov 1979 - Mar 1981
Grappler Baki,Manga (42 vols),1991 - 1999
Shinkuu Yuusetsu,Manga (3 vols),2004 - Mar 2008
Arisa,Manga (12 vols),Dec 2008 - Aug 2012
Hanaya no Nikai de,Manga (2 vols),2006 - 2006
3-nen Z-gumi Ginpachi-sensei,Novel (4 vols),Feb 2006 - Apr 2009
Ame Nochi Hare,Manga (8 vols),Jun 2008 - Dec 2014
Souin Gyokusai seyo!,Manga (1 vols),Aug 1973 - Aug 1973
Muv-Luv Alternative,Manga (17 vols),Aug 2007 - Apr 2017
Mitsudomoe,Manga (19 vols),Mar 2006 - Aug 2017
Ore no Kanojo to Osananajimi ga Shuraba sugiru,Novel (? vols),Feb 2011 -
Saki: Achiga-hen - Episode of Side-A,Manga (6 vols),Aug 2011 - Mar 2013
1/11: Juuichi Bun no Ichi,Manga (9 vols),May 2010 - Jun 2014
The iDOLM@STER,Manga (6 vols),Aug 2012 - Aug 2016
GJ-bu,Novel (9 vols),Mar 2010 - Mar 2012
Kyou no Cerberus,Manga (12 vols),May 2013 - Jun 2018
Seirou Opera,Manga (? vols),Jan 2015 -
Futaribeya,Manga (? vols),Jul 2014 -
T-sensei,Manga (7 vols),Nov 2014 - Mar 2018
Isekai Goumon-hime,Novel (? vols),Apr 2016 -
Sora yori mo Tooi Basho,Manga (3 vols),Dec 2017 - Feb 2019
Usagi-moku Shachiku-ka,Manga (? vols),Jul 2017 -
Futari no Lion,Manga (1 vols),Sep 2017 - Jan 2019
Skip to Loafer,Manga (? vols),Aug 2018 -
Kaketa Tsuki to Doughnut,Manga (? vols),Mar 2019 -
Futari Ashita mo Sorenari ni,Manga (? vols),May 2019 -
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,Manga (? vols),Dec 2019 -
Monochrome Factor,Manga (11 vols),2004 - Jun 2011
Wild☆Act,Manga (10 vols),1998 - 2000
World Embryo,Manga (13 vols),Apr 2005 - May 2014
X-Day,Manga (2 vols),Mar 2002 - Dec 2002
H³ School,Manga (5 vols),Aug 2003 - Dec 2004
Yakitate!! Japan,Manga (26 vols),Mar 2002 - Jan 2007
Slayers: Super Explosive Demon Story,Manga (8 vols),1995 - 2000
Blood+,Manga (5 vols),Dec 2005 - Apr 2007
Saint Seiya,Manga (28 vols),Dec 1985 - Nov 1990
Love♥Monster,Manga (12 vols),2002 - 2005
Tsuki no Toiki Ai no Kizu,Manga (1 vols),2002 - 2002
Mujuuryoku Shounen,Manga (3 vols),2002 - 2002
Toukaidou Hisame,Manga (2 vols),Oct 2005 - Jul 2006
Nousatsu Rock Shounen,Manga (4 vols),Feb 2005 - Jun 2013
Chokomimi,Manga (? vols),-2003
Shuna no Tabi,Manga (1 vols),Jun 1983 - Jun 1983
Mahoujin Guruguru,Manga (16 vols),Jul 1992 - Aug 2003
Kuruizaki no Hana,Manga (5 vols),Nov 2003 - Aug 2006
Katana Series,Manga (? vols),Sep 2004 -
Sunabouzu,Manga (? vols),Aug 1997 -
Veritas,Manhwa (10 vols),2005 - 2010
Fantasista,Manga (25 vols),Jul 1999 - Mar 2004
Cavalier of the Abyss,Manhwa (? vols),-2008
Touhou Sangetsusei: Strange and Bright Nature Deity,Manga (3 vols),May 2006 - Jan 2009
Kanojo wa Uso wo Aishisugiteru,Manga (22 vols),Mar 2009 - Feb 2017
He's dedicated to Roses,Manhwa (11 vols),Jan 2007 - Feb 2007
Shiritsu Horitsuba Gakuen,Manga (? vols),Apr 2006 -
Yandere Kanojo,Manga (17 vols),Jun 2008 - Apr 2015
Himawari-san,Manga (? vols),Aug 2009 -
Endou-kun no Kansatsu Nikki,Manga (1 vols),Feb 2010 - Jun 2011
Guilty Crown,Manga (7 vols),Oct 2011 - Nov 2013
Drug & Drop,Manga (? vols),Nov 2011 -
Principal,Manga (7 vols),Sep 2010 - Jul 2013
JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring,Novel (1 vols),May 2001 - May 2001
Welcome to Room #305!,Manhwa (? vols),Mar 2008 - Sep 2011
Isshuukan Friends,Manga (7 vols),Aug 2011 - Jan 2015
Shingeki no Kyojin: Before the Fall,Novel (3 vols),Dec 2011 - Jun 2012
I Don't Want This Kind of Hero,Manhwa (? vols),Nov 2011 - Sep 2017
Gakusen Toshi Asterisk,Novel (? vols),Sep 2012 -
Choujigen Game Neptune: The Animation - Hello New World,Manga (2 vols),Apr 2013 - Jul 2014
Watashi ga Motete Dousunda,Manga (14 vols),Apr 2013 - Feb 2018
Koisuru Harinezumi,Manga (5 vols),Dec 2013 - Nov 2015
Ubume no Natsu,Manga (4 vols),Jan 2013 - Dec 2014
Baki-dou,Manga (22 vols),Mar 2014 - Apr 2018
Vampire Library,Manhwa (? vols),May 2014 -
Adachi to Shimamura,Novel (? vols),Oct 2012 -
Yahari 4-koma demo Ore no Seishun Love Comedy wa Machigatteiru,Manga (2 vols),Apr 2013 - Jun 2015
Magi no Okurimono,Manga (1 vols),Apr 2014 - Dec 2014
Lord El-Melloi II-sei no Jikenbo,Novel (? vols),Dec 2014 -
Urara Meirochou,Manga (7 vols),Apr 2014 - Jun 2019
Black Clover,Manga (? vols),Feb 2015 -
Majo no Ie: Ellen no Nikki,Novel (1 vols),Oct 2013 - Oct 2013
Gamers!,Novel (? vols),Mar 2015 -
Sonna Me de Mitekure,Manga (1 vols),Jul 2013 - Jun 2014
Kemono Jihen,Manga (? vols),Dec 2016 -
Sengoku Komachi Kuroutan: Noukou Giga,Manga (? vols),May 2017 -
Lan Chi,Manhua (? vols),Mar 2014 -
Hataraku Saibou Black,Manga (? vols),Jun 2018 -
Ponkotsu Ponko,Manga (? vols),Mar 2019 -
Ibara no Ou,Manga (6 vols),Sep 2002 - Sep 2005
Othello,Manga (7 vols),Aug 2001 - Sep 2004
Zelda no Densetsu: Majora no Kamen,Manga (1 vols),Mar 2001 - Mar 2001
Seto no Hanayome,Manga (16 vols),Jul 2002 - Nov 2010
Captain Tsubasa: World Youth-hen,Manga (18 vols),Apr 1994 - Aug 1997
Yozakura Quartet,Manga (? vols),Jan 2006 -
Ojousama wa Oyome-sama,Manga (18 vols),Jul 2007 - Mar 2013
Kidou Senshi Gundam Unicorn,Novel (11 vols),Dec 2006 - Mar 2016
Sad Love Song,Manhwa (5 vols),-
Double Arts,Manga (3 vols),Mar 2008 - Sep 2008
Shuu 7,Manga (1 vols),2007 - 2007
Yami no Kodou,Manga (? vols),-1997
Usogui,Manga (49 vols),May 2006 - Dec 2017
Tonari no Atashi,Manga (10 vols),Dec 2008 - Feb 2012
Dosei Mansion,Manga (7 vols),Nov 2005 - Jun 2011
Plastic Neesan,Manga (? vols),Sep 2009 -
Tobaku Haouden Zero: Gyanki-hen,Manga (10 vols),Jul 2011 - May 2013
Shindere Shoujo to Kodoku na Shinigami,Manga (3 vols),Sep 2011 - Mar 2013
Green Blood,Manga (5 vols),Jun 2011 - May 2013
Kono Ore ga Omae nanka Suki na Wakenai,Manga (1 vols),Apr 2012 - Nov 2012
Dimension W,Manga (16 vols),Sep 2011 - Jun 2019
Ito Junji Kyoufu Manga Collection - Kao Dorobou,Manga (1 vols),Dec 1987 - 1998
"Occultic,Nine",Novel (? vols),Aug 2014 -
K-On! College,Manga (1 vols),Apr 2011 - Jun 2012
Senyuu: Alba/Ross-hen - Minato Machi no Eiyuu,Manga (1 vols),Nov 2013 - Nov 2013
Psycho-Pass: Kanshikan Kougami Shinya,Manga (6 vols),Jun 2014 - Nov 2017
Yuusha Gojo Kumiai Kouryuugata Keijiban,Manga (3 vols),Nov 2013 - Mar 2016
Sword Art Online Alternative: Gun Gale Online,Novel (? vols),Dec 2014 -
Major 2nd,Manga (? vols),Mar 2015 -
Samishigariya no Love Letter,Manga (1 vols),Apr 2013 - Mar 2014
Vigilante: Boku no Hero Academia Illegals,Manga (? vols),Aug 2016 -
Tensei shitara Ken deshita,Manga (? vols),Dec 2016 -
Koroshi Ai,Manga (? vols),Oct 2015 -
Fukushuu wo Chikatta Shironeko wa Ryuuou no Hiza no Ue de Damin wo Musaboru,Manga (? vols),Aug 2017 -
Manga de Wakaru! Fate/Grand Order,Manga (? vols),Aug 2015 -
Hige wo Soru Soshite Joshikousei wo Hirou,Manga (? vols),Nov 2018 -
Dai Dark,Manga (? vols),Mar 2019 -
Kimi wa Houkago Insomnia,Manga (? vols),May 2019 -
Maou no Musume wa Yasashisugiru!!,Manga (? vols),May 2018 -
Magic Knight Rayearth,Manga (3 vols),Nov 1993 - Feb 1995
"""Kare"" First Love",Manga (10 vols),Aug 2002 - 2004
Hameln no Violin-hiki,Manga (37 vols),Mar 1991 - Jan 2001
Sekirei,Manga (19 vols),Jan 2004 - Mar 2018
Taiyou no Ijiwaru,Manga (1 vols),Jan 2000 - Aug 2001
Ai-Ren,Manga (5 vols),Jun 1999 - May 2002
Shinigami no Ballad,Manga (3 vols),May 2005 - Feb 2007
ef: A Fairy Tale of the Two,Manga (10 vols),Jan 2005 - Jan 2015
Poe no Ichizoku,Manga (5 vols),Mar 1972 - Jun 1976
Bara no Tame ni,Manga (16 vols),Sep 1992 - Jan 1998
Brave Story,Novel (4 vols),Jun 2006 - Jun 2006
Hana no Namae,Manga (4 vols),Feb 2004 - Aug 2007
Toukaidou Hisame: Kagerou,Manga (4 vols),Aug 2006 - May 2010
Hyakko,Manga (? vols),-2006
Teikoku Kyoudai,Manga (? vols),Jun 2004 -
Only You: Tobenai Tsubasa,Manga (8 vols),May 1997 - Dec 1999
Hidarite no Love Letter,Manga (1 vols),2008 - 2009
Miiko desu!,Manga (4 vols),1991 - 1991
Higurashi no Naku Koro ni: Kataribanashi-hen Comic Anthology EX,Manga (7 vols),Nov 2007 - Jun 2009
Obaka-chan Koigatariki,Manga (7 vols),2008 - Oct 2010
Worst Gaiden,Manga (1 vols),Sep 2009 - Sep 2009
High School DxD,Manga (11 vols),Jul 2010 - Feb 2018
14-sai no Koi,Manga (? vols),Jun 2010 -
Youkai Apartment no Yuuga na Nichijou,Manga (? vols),May 2011 -
Apocalypse no Toride,Manga (10 vols),Sep 2011 - Aug 2015
Kenshin,Manga (19 vols),-1984
Be Blues! Ao ni Nare,Manga (? vols),Jan 2011 -
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,Novel (11 vols),Jul 2012 - Feb 2016
Totsuzen desu ga Ashita Kekkon Shimasu,Manga (9 vols),Apr 2014 - May 2018
Steins Gate!,Manga (2 vols),Jan 2011 - Mar 2012
Higurashi no Naku Koro ni Kai - Dai 3-wa: Minagoroshi-hen,Novel (2 vols),Sep 2008 - Oct 2008
Mitsuboshi Colors,Manga (? vols),Jul 2014 -
Chikyuu Umare no Anata e,Manga (1 vols),Feb 2013 - Nov 2013
Shinmai Shimai no Futari Gohan,Manga (? vols),Jun 2015 -
Gozen 0-ji Kiss shi ni Kite yo,Manga (? vols),Apr 2015 -
Nakanohito Genome [Jikkyouchuu],Manga (? vols),Oct 2014 -
High School DxD EX,Novel (? vols),Jul 2015 - Jan 2016
Hoshi dake ga Shitteru,Manga (1 vols),Jan 2016 - Jan 2017
Tsuiraku JK to Haijin Kyoushi,Manga (? vols),Jul 2017 -
Summertime Render,Manga (? vols),Oct 2017 -
Jujutsu Kaisen,Manga (? vols),Mar 2018 -
Still Sick,Manga (? vols),Dec 2018 -
Yu☆Gi☆Oh!,Manga (38 vols),Sep 1996 - Mar 2004
Ayashi no Ceres,Manga (14 vols),Aug 1996 - Jan 2000
Imadoki!,Manga (5 vols),May 2000 - Jul 2001
Princess Princess,Manga (5 vols),Aug 2002 - Apr 2006
Gokuraku Seishun Hockey Club,Manga (14 vols),2005 - 2010
Bad Company,Manga (1 vols),Jun 1996 - Jul 1996
Aa! Megami-sama!,Manga (48 vols),Aug 1988 - Apr 2014
Buraiden Gai,Manga (5 vols),Mar 2000 - Jan 2001
Uwasa no Midori-kun!!,Manga (10 vols),Aug 2006 - Aug 2008
Honggane,Manhwa (11 vols),-2005
Nagasarete Airantou,Manga (? vols),Dec 2001 -
Freesia,Manga (12 vols),Sep 2001 - Aug 2009
Swan,Manga (21 vols),Nov 1976 - Apr 1981
Devil May Cry,Novel (2 vols),Apr 2002 - Dec 2003
MW,Manga (3 vols),Aug 1976 - Jan 1978
Tokimeki Tonight,Manga (30 vols),Jul 1982 - Oct 1994
Good Morning Kiss,Manga (? vols),May 2006 -
Notes,Novel (? vols),May 1999 - May 1999
By Hero,One-shot (? vols),Apr 2007 - Apr 2007
Dear Friends: Rina & Maki,Manga (1 vols),2003 - 2003
Karate Shoukoushi Kohinata Minoru,Manga (50 vols),Mar 2000 - Aug 2012
Mangaka-san to Assistant-san to,Manga (10 vols),Jan 2008 - Sep 2012
All Rounder Meguru,Manga (19 vols),Nov 2008 - Apr 2016
Shin Mazinger Zero,Manga (9 vols),Apr 2009 - Oct 2012
Houkago no Charisma,Manga (12 vols),Apr 2008 - Sep 2014
Sugiru Juunana no Haru,Manga (2 vols),Nov 2007 - Oct 2008
Gunjou Gakusha,Manga (4 vols),Jun 2004 - Oct 2008
QP,Manga (8 vols),1999 - 2001
Oiran Girl,Manga (5 vols),Dec 2009 - Nov 2012
Bokura no☆Hikari Club,Manga (2 vols),Apr 2011 - Mar 2012
Hentai Ouji to Warawanai Neko,Novel (12 vols),Oct 2010 - Mar 2018
Sekai no Hate,Manga (4 vols),Jul 2011 - Nov 2012
Blood and Steel,Manhua (? vols),Apr 2011 -
Maoyuu Maou Yuusha,Manga (8 vols),Jun 2011 - Nov 2016
"Steins Gate: Shijou Saikyou no Slight Fever",Manga (2 vols),Jan 2011 - Mar 2013
Shiro Ali,Manga (10 vols),May 2010 - Jun 2016
Ore ga Akuma de Aitsu ga Yome de,Manga (2 vols),Oct 2011 - Jan 2013
Hyouketsu Kyoukai no Eden,Novel (13 vols),Sep 2009 - Mar 2014
Meiji Hiiro Kitan,Manga (13 vols),Mar 2011 - Jul 2014
Supernatural Investigation Department,Manhwa (? vols),May 2010 -
Pochama ni,Manga (8 vols),Nov 2011 - Apr 2017
Hunter x Hunter: Kurapika Tsuioku-hen,Manga (1 vols),Dec 2012 - Dec 2012
Shinmai Maou no Testament,Novel (12 vols),Sep 2012 - Apr 2018
Nagi no Asu kara,Manga (6 vols),Apr 2013 - Mar 2016
Risou no Himo Seikatsu,Novel (? vols),Sep 2012 -
Zero kara Hajimeru Mahou no Sho,Novel (? vols),Feb 2014 -
Ani no Hanashi,Manga (? vols),Nov 2013 - Mar 2014
The Breaker,Novel (3 vols),May 2014 - Jul 2015
Zettai naru Isolator,Novel (? vols),Jun 2014 -
Oshiete! Galko-chan,Manga (? vols),Jun 2014 -
Kuramochi Youichi Special Bangai-hen: OutRun,One-shot (? vols),Mar 2014 - Mar 2014
Shingeki no Kyojin: Lost Girls,Novel (1 vols),Dec 2014 - Dec 2014
Hyakuman-jou Labyrinth,Manga (2 vols),May 2013 - Mar 2015
Isekai wa Smartphone to Tomo ni,Novel (? vols),May 2015 -
Girls & Panzer: Little Army II,Manga (3 vols),Apr 2015 - Mar 2016
Mirai Nikki,Novel (2 vols),Feb 2012 - May 2012
Shakunetsu no Takkyuu Musume,Manga (7 vols),Dec 2013 - Feb 2019
Slime Taoshite 300-nen Shiranai Uchi ni Level Max ni Nattemashita,Novel (? vols),Jan 2017 -
Kobayashi-san Chi no Maid Dragon: Kanna no Nichijou,Manga (? vols),Dec 2016 -
Darling in the FranXX,Manga (8 vols),Jan 2018 - Jan 2020
Jishou Akuyaku Reijou na Konyakusha no Kansatsu Kiroku,Manga (? vols),May 2018 -
Kimi to Natsu no Naka,Manga (1 vols),Aug 2018 - May 2019
Love Roma,Manga (5 vols),2002 - 2005
Yume de Aetara,Manga (17 vols),Feb 1994 - Dec 1999
Crossroad,Manga (7 vols),Nov 2002 - Nov 2005
Apollo no Uta,Manga (3 vols),Apr 1970 - Nov 1970
Eat-Man,Manga (19 vols),Jan 1996 - Jul 2003
Seigi no Mikata,Manga (7 vols),2004 - 2008
Rurouni Kenshin: Yahiko no Sakabatou,One-shot (? vols),Dec 1999 - Dec 1999
Keyaki no Ki,Manga (1 vols),Apr 1993 - Aug 1993
Red Lion,Manhwa (7 vols),-2003
Strawberry Panic,Novel (3 vols),Mar 2006 - Dec 2006
Coelacanth,Manga (2 vols),Dec 2007 - Jul 2008
Qi Shi Gong Zhu,Manhua (4 vols),2005 - 2005
Heaven's Door,Manga (1 vols),Sep 2008 - Sep 2009
Barajou no Kiss,Manga (9 vols),Jun 2008 - Dec 2011
Egaku Nara Happy Ending,Manga (1 vols),2008 - 2008
Koi Hirari,Manga (2 vols),Dec 2008 - Aug 2009
Kodomo no Iibun,Manga (2 vols),2004 - 2004
Yorubenaki Mono,Manga (? vols),Oct 2008 - Jul 2009
Silver,Manga (9 vols),Nov 2000 - 2002
Yasashii Sekai no Tsukurikata,Manga (6 vols),Jan 2010 - Dec 2014
Shanaou Yoshitsune: Genpei no Kassen,Manga (29 vols),Jul 2007 - Apr 2015
Shounen Note,Manga (8 vols),Nov 2010 - May 2014
Negative-kun to Positive-kun,Manga (1 vols),Mar 2011 - Mar 2011
Kingdom Hearts: Birth by Sleep,Novel (3 vols),Dec 2010 - May 2011
Fate/Apocrypha,Novel (5 vols),Dec 2012 - Dec 2014
Senpai,Manga (1 vols),Oct 2010 - Dec 2011
Denki-gai no Honya-san,Manga (15 vols),Jun 2011 - Nov 2017
Himegoto: Juukyuusai no Seifuku,Manga (8 vols),Jul 2010 - Nov 2014
Phenomeno,Novel (6 vols),Jan 2012 - Jun 2015
Ore no Nounai Sentakushi ga Gakuen Love Comedy wo Zenryoku de Jama shiteiru,Novel (13 vols),Jan 2012 - Feb 2016
Saijaku Muhai no Bahamut,Novel (? vols),Aug 2013 -
Toshokan no Aruji,Manga (15 vols),Dec 2010 - Feb 2017
Fujiyama-san wa Shishunki,Manga (8 vols),Nov 2012 - Dec 2015
Vampire Knight: Flail no Yume,Novel (1 vols),Nov 2013 - Nov 2013
Shokugeki no Souma: à la Carte,Novel (3 vols),Feb 2014 - Apr 2015
Rakudai Kishi no Cavalry,Manga (11 vols),Mar 2014 - Dec 2017
Yuugure Light,Manga (5 vols),Jul 2014 - May 2016
Let's! Haikyuu!?,Manga (? vols),Sep 2014 -
Kokuhaku Yokou Renshuu Series,Novel (? vols),Feb 2014 -
Tendou-ke Monogatari,Manga (? vols),Aug 2014 -
Bad∞End∞Night: Insane Party,Manga (3 vols),Dec 2014 - Jun 2016
Jaku-Chara Tomozaki-kun,Novel (? vols),May 2016 -
Do Chokkyuu Kareshi x Kanojo,Manga (? vols),Jul 2017 -
Zoku Kono Subarashii Sekai ni Bakuen wo!,Manga (? vols),Feb 2018 -
Kawaii dake ja Nai Shikimori-san,Manga (? vols),Sep 2018 -
Flow,Manhwa (6 vols),Jun 2013 - Jun 2015
Douluo Dalu 4: Zhongji Douluo,Manhua (? vols),Jan 2019 -
Ai yori Aoshi,Manga (17 vols),Nov 1998 - Aug 2005
Fate/stay night,Manga (20 vols),Dec 2005 - Oct 2012
Parfait Tic!,Manga (22 vols),Apr 2000 - Jul 2007
Mousou Shoujo Otaku-kei,Manga (7 vols),Apr 2006 - Sep 2010
Sundome,Manga (8 vols),Nov 2006 - Nov 2009
Moyashimon,Manga (13 vols),Jun 2004 - Jan 2014
What's Michael?,Manga (9 vols),1984 - 2002
Hayate x Blade,Manga (18 vols),Nov 2003 - Jul 2013
Patalliro!,Manga (? vols),Nov 1979 -
Guignol Kyuutei Gakudan,Manga (5 vols),Jun 2008 - Apr 2010
Nakizakura Kitan,Manga (1 vols),May 2005 - Oct 2008
Red,Manga (19 vols),Nov 1998 - Oct 2005
Kanojo wo Mamoru 51 no Houhou,Manga (5 vols),May 2006 - Aug 2007
Are You Alice?,Manga (12 vols),May 2009 - Jun 2015
B-gata H-kei,Manga (9 vols),Apr 2004 - Feb 2011
Samurai High School,Manga (5 vols),Mar 2009 - Mar 2011
Coda,Manga (3 vols),2010 - 2012
Necromancer,Manga (4 vols),Mar 2009 - Jan 2011
Westwood Vibrato,Manga (4 vols),Apr 2010 - Mar 2012
Koyoi Kimi to Kiss no Chigiri wo,Manga (3 vols),Jan 2012 - May 2014
Hwaja,Manhwa (2 vols),Jun 2011 - Feb 2012
Honey,Manga (8 vols),Aug 2012 - Nov 2015
InuYasha,Novel (1 vols),Dec 2004 - Dec 2004
ReCollection,Manga (? vols),Oct 2013 -
K-On! Highschool,Manga (1 vols),Apr 2011 - Jun 2012
Days,Manga (? vols),Apr 2013 -
Sensei wa Sadistic,Manga (1 vols),Aug 2010 - Aug 2010
Palace Meidi,Manga (7 vols),Jan 2012 - Apr 2017
Soredemo Boku wa Kimi ga Suki,Manga (7 vols),Dec 2013 - Mar 2016
Inuyashiki,Manga (10 vols),Jan 2014 - Jul 2017
Kurosaki-kun no Iinari ni Nante Naranai,Manga (? vols),Jan 2014 -
Ojojojo,Manga (4 vols),Jun 2012 - Apr 2017
Groundless,Manga (? vols),Jun 2010 -
Plunderer,Manga (? vols),Dec 2014 -
Nigeru wa Haji daga Yaku ni Tatsu,Manga (? vols),Nov 2012 -
Isekai Yakkyoku,Novel (? vols),Jan 2016 -
Mousou Telepathy,Manga (? vols),Feb 2016 -
Kishuku Gakkou no Juliet,Novel (1 vols),Feb 2017 - Feb 2017
Bokutachi wa Benkyou ga Dekinai,Manga (? vols),Feb 2017 -
Koi ni mo Naranai,Manga (1 vols),Jan 2015 - Sep 2016
BanG Dream!: Girls Band Party! - Roselia Stage,Manga (2 vols),Feb 2017 - Sep 2017
Mata Onaji Yume wo Miteita,Manga (3 vols),Sep 2017 - Aug 2018
Koushin Koinu ni Koibumi wo,Manga (? vols),Jan 2018 -
Kuma Kuma Kuma Bear,Manga (? vols),Mar 2018 -
Kamichama Karin,Manga (7 vols),Nov 2002 - Apr 2008
Kidou Keisatsu Patlabor,Manga (22 vols),Mar 1988 - May 1994
To LOVE-Ru,Manga (18 vols),Apr 2006 - Aug 2009
Kuro no Taiyou Gin no Tsuki,Manga (7 vols),Jul 2002 - 2007
Cantarella,Manga (12 vols),Jun 2000 - Apr 2010
Red Eyes,Manga (? vols),Dec 1999 -
Kimagure Orange☆Road,Manga (18 vols),Mar 1984 - Sep 1987
Biomega,Manga (6 vols),Jun 2004 - Jan 2009
Over Rev!,Manga (31 vols),Nov 1996 - Jul 2004
Tough,Manga (39 vols),Jul 2003 - Jul 2012
Ryou,Manga (13 vols),1995 - 1999
Honey & Honey: Onnanoko Doushi no Love Couple,Manga (2 vols),Apr 2006 - Feb 2007
Yumenara Samenaide,Manga (1 vols),-2006
Hachimitsu Darling,Manga (1 vols),Apr 2008 - Oct 2011
Boku wa Kiss de Uso wo Tsuku,Manga (2 vols),Apr 2008 - Oct 2008
Area no Kishi,Manga (57 vols),Apr 2006 - Mar 2017
Shissou Nikki,Manga (1 vols),Mar 2005 - Mar 2005
Shakugan no Shana X: Eternal Song - Harukanaru Uta,Manga (5 vols),Sep 2007 - Jul 2012
Replica,Manga (4 vols),Sep 2007 - Nov 2008
"Steins,Gate: Boukan no Rebellion",Manga (3 vols),Dec 2009 - Jul 2011
Present wa Shinju,Manga (4 vols),Sep 2008 - Oct 2012
Kamisama no Iutoori,Manga (5 vols),Feb 2011 - Oct 2012
Akuma ni Itsukushimi no Te wo,One-shot (? vols),Jun 2011 - Jun 2011
Arslan Senki,Novel (16 vols),Aug 1986 - Dec 2017
Gun x Clover,Manga (12 vols),Apr 2012 - Nov 2017
Houkago x Ponytail,Manga (1 vols),Dec 2012 - Dec 2012
Hisohiso: Silent Voice,Manga (6 vols),Sep 2010 - Mar 2016
Sakura Trick,Manga (8 vols),Mar 2011 - Aug 2017
Mimizuku to Yoru no Ou,Novel (1 vols),Feb 2007 - Feb 2007
P to JK,Manga (? vols),Dec 2012 -
Tsubasa to Hotaru,Manga (11 vols),Aug 2013 - Nov 2017
Baby Kokoro no Mama ni!,Manga (? vols),Nov 2012 -
Masou Gakuen HxH,Novel (13 vols),Feb 2014 - Jul 2018
Hana wo Meshimase,Manga (1 vols),Oct 2013 - Apr 2014
Love Live! School Idol Diary,Manga (? vols),Apr 2014 -
Trinity Seven: 7-nin no Mashotsukai The Novel,Novel (? vols),Nov 2014 -
Okitegami Kyouko no Bibouroku,Manga (5 vols),Aug 2015 - Mar 2017
Aoi Horus no Hitomi: Dansou no Joou no Monogatari,Manga (? vols),Dec 2014 -
Youkai Gakkou no Sensei Hajimemashita!,Manga (? vols),Nov 2014 -
Futsutsukamono no Ani desu ga,Manga (6 vols),Mar 2013 - Jun 2017
Hibiki: Shousetsuka ni Naru Houhou,Manga (? vols),Aug 2014 -
Persona 5,Manga (? vols),Sep 2016 -
Slow Motion wo Mou Ichido,Manga (7 vols),Aug 2016 - May 2018
Maou-sama no Machizukuri!: Saikyou no Dungeon wa Kindai Toshi,Novel (? vols),Dec 2016 -
Ningen Shikkaku,Manga (3 vols),May 2017 - Apr 2018
Majo no Ie: Ellen no Nikki,Manga (2 vols),Jun 2017 - Feb 2018
Toumei Ningen no Hone,Manga (4 vols),Sep 2017 - Mar 2018
Taimashi to Akuma-chan,Manga (? vols),Mar 2018 -
Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru,Novel (? vols),Nov 2017 -
Jibaku Shounen Hanako-kun 0,Manga (1 vols),Jun 2014 - Aug 2014
Erementar Gerad,Manga (18 vols),Feb 2002 - Dec 2009
King of Bandit Jing,Manga (7 vols),1999 - May 2005
Sidooh,Manga (25 vols),Jun 2005 - Oct 2010
Pastel,Manga (44 vols),Jul 2002 - Jan 2017
Densha Otoko: Bijo to Junjou Otaku Seinen no Net-Hatsu Love Story,Manga (1 vols),Jun 2005 - Jun 2005
Cipher,Manga (12 vols),Jul 1985 - Dec 1990
Houshin Engi,Manga (23 vols),Jun 1996 - Oct 2000
9-banme no Musashi,Manga (21 vols),Apr 1996 - Feb 2007
Yesterday wo Utatte,Manga (11 vols),Dec 1997 - Jun 2015
Zelda no Densetsu: Yottsu no Tsurugi+,Manga (2 vols),Sep 2004 - May 2005
Takeru ~ Opera Susanoh Sword of the Devil,Manga (4 vols),Jul 2005 - Jan 2007
GunSmith Cats Burst,Manga (5 vols),Jul 2004 - Sep 2008
Kure-nai,Manga (10 vols),Nov 2007 - Jun 2012
Akuma to Dolce,Manga (2 vols),Apr 2005 - Aug 2008
Harem☆Lodge,Manga (2 vols),Dec 2006 - Aug 2007
Kami no Shizuku,Manga (44 vols),Nov 2004 - Jun 2014
Tsuki to Mizuumi,Manga (1 vols),2007 - 2007
Ouji Romantica,Manga (1 vols),Aug 2005 - Aug 2006
Zelda no Densetsu: Kaze no Tact - Link no 4-koma Koukaiki,Manga (1 vols),2002 - Oct 2003
Kimi to Koi ni Ochiru Mahou de,Manga (1 vols),2008 - 2008
Heart,Manga (10 vols),2001 - 2003
Pig Bride,Manhwa (5 vols),2007 - 2007
Bokura ni Matsuwaru etc,Manga (1 vols),Nov 2006 - Nov 2007
Yacchimai na!,Manga (1 vols),Nov 2008 - Nov 2008
Keppeki Shounen Kanzen Soubi,Manga (2 vols),Dec 2005 - Apr 2007
Inu Jikan,Manga (1 vols),Oct 2008 - Oct 2008
Watashi ni xx Shinasai!,Manga (19 vols),May 2009 - Sep 2015
Nagato Yuki-chan no Shoushitsu,Manga (10 vols),Jul 2009 - Aug 2016
